Catalogue Number,Material,Module,Teeth Count,Pitch Diameter (mm),Bore Diameter (mm),Face Width (cm),Tooth Finish,Heat Treatment,Lewis Form Factor,Tooth Stress Applied,FOS,,,Lewis Form Factor Values,Pressure,Angle,,,,
SS1-24C,S45C,1,24,24,10 keyway&screw hole,1,Standard,None,0.337,1209.446093,0.327215907,,,# of Gear Teeth,20 Degree,14.5 Degree,,,,
SS1-25C,S45C,1,25,25,10 keyway&screw hole,1,Standard,None,0.337,1161.068249,0.340849903,,,10,0.201,0.176,,,0.337049099,0.291795351
SS1-40B,S45C,1,40,40,10 keyway&screw hole,1,Standard,None,0.389,628.6632391,0.629510325,,,11,0.226,0.192,,,,
SS1-45B,S45C,1,45,45,10 keyway&screw hole,1,Standard,None,0.399,544.8064606,0.726404749,,,12,0.245,0.21,,,,
SS1-60C,S45C,1,60,60,15 keyway&screw hole,1,Standard,None,0.421,387.2525732,1.021942854,Engine Torque (Nm):,,13,0.264,0.223,,,,
SS1.5-100J15,S45C,1.5,100,150,15 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,97.82,,14,0.276,0.236,,,,
SS1.5-100J16,S45C,1.5,100,150,16 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,15,0.289,0.245,,,,
SS1.5-100J17,S45C,1.5,100,150,17 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,Max Yield Strength of S45C Steel:,,16,0.295,0.255,,,,
SS1.5-100J18,S45C,1.5,100,150,18 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,395.75,,17,0.302,0.264,,,,
SS1.5-100J19,S45C,1.5,100,150,19 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,18,0.308,0.27,,,,
SS1.5-100J20,S45C,1.5,100,150,20 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,19,0.314,0.277,,,,
SS1.5-100J22,S45C,1.5,100,150,22 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,20,0.32,0.283,,,,
SS1.5-100J25,S45C,1.5,100,150,25 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,22,0.33,0.292,,,,
SS1.5-100J28,S45C,1.5,100,150,28 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,24,0.337,0.302,,,,
SS1.5-100J30,S45C,1.5,100,150,30 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,26,0.344,0.308,,,,
SS1.5-100J32,S45C,1.5,100,150,32 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,28,0.352,0.314,,,,
SS1.5-100J35,S45C,1.5,100,150,35 keyway&screw hole,1.5,Standard,None,0.446,64.98588274,6.08978417,,,30,0.358,0.318,,,,
SS1.5-120J15,S45C,1.5,120,180,15 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,32,0.364,0.322,,,,
SS1.5-120J16,S45C,1.5,120,180,16 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,34,0.37,0.325,,,,
SS1.5-120J17,S45C,1.5,120,180,17 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,36,0.377,0.329,,,,
SS1.5-120J18,S45C,1.5,120,180,18 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,38,0.383,0.332,,,,
SS1.5-120J19,S45C,1.5,120,180,19 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,40,0.389,0.336,,,,
SS1.5-120J20,S45C,1.5,120,180,20 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,45,0.399,0.34,,,,
SS1.5-120J22,S45C,1.5,120,180,22 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,50,0.408,0.346,,,,
SS1.5-120J25,S45C,1.5,120,180,25 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,55,0.415,0.352,,,,
SS1.5-120J28,S45C,1.5,120,180,28 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,60,0.421,0.355,,,,
SS1.5-120J30,S45C,1.5,120,180,30 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,65,0.425,0.358,,,,
SS1.5-120J32,S45C,1.5,120,180,32 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,70,0.429,0.36,,,,
SS1.5-120J35,S45C,1.5,120,180,35 keyway&screw hole,1.5,Standard,None,0.446,54.15490229,7.307741004,,,75,0.433,0.361,,,,
SS1.5-26A,S45C,1.5,26,39,12 keyway&screw hole,1.5,Standard,None,0.344,324.0575101,1.221233848,,,80,0.436,0.363,,,,
SS1.5-28A,S45C,1.5,28,42,12 keyway&screw hole,1.5,Standard,None,0.352,294.0716691,1.345760376,,,90,0.442,0.366,,,,
SS1.5-30C,S45C,1.5,30,45,15 keyway&screw hole,1.5,Standard,None,0.358,269.8668874,1.466463722,,,100,0.446,0.368,,,,
SS1.5-32B,S45C,1.5,32,48,12 keyway&screw hole,1.5,Standard,None,0.364,248.8298738,1.590444081,,,150,0.458,0.375,,,,
