Catalogue.Number,Material,Module,Teeth.Count,Pitch.Diameter..mm.,Bore.Diameter..mm.,Face.Width..cm.,Tooth.Finish,Heat.Treatment,Lewis.Form.Factor,set.screw,keyway,Torque,Weight
SSA2-15J10,S45C,2,15,30,10,2,Standard,None,0.289,0,1,29.56,0.098
SSA2-15J12,S45C,2,15,30,12,2,Standard,None,0.289,0,1,29.56,0.092
SSA2-18J10,S45C,2,18,36,10,2,Standard,None,0.308,0,1,39.28,0.147
SSA2-18J12,S45C,2,18,36,12,2,Standard,None,0.308,0,1,39.28,0.141
SSA2-18J14,S45C,2,18,36,14,2,Standard,None,0.308,0,1,39.28,0.134
SSA2-18J15,S45C,2,18,36,15,2,Standard,None,0.308,0,1,39.28,0.13
SSA2-20J12,S45C,2,20,40,12,2,Standard,None,0.32,0,1,45.97,0.179
SSA2-20J14,S45C,2,20,40,14,2,Standard,None,0.32,0,1,45.97,0.172
SSA2-20J15,S45C,2,20,40,15,2,Standard,None,0.32,0,1,45.97,0.168
SSA2-20J16,S45C,2,20,40,16,2,Standard,None,0.32,0,1,45.97,0.164
SSA2-20J17,S45C,2,20,40,17,2,Standard,None,0.32,0,1,45.97,0.16
SSA2-24J12,S45C,2,24,48,12,2,Standard,None,0.337,0,1,59.75,0.265
SSA2-24J14,S45C,2,24,48,14,2,Standard,None,0.337,0,1,59.75,0.258
SSA2-24J15,S45C,2,24,48,15,2,Standard,None,0.337,0,1,59.75,0.255
SSA2-24J16,S45C,2,24,48,16,2,Standard,None,0.337,0,1,59.75,0.251
SSA2-24J17,S45C,2,24,48,17,2,Standard,None,0.337,0,1,59.75,0.247
SSA2-24J18,S45C,2,24,48,18,2,Standard,None,0.337,0,1,59.75,0.242
SSA2-24J19,S45C,2,24,48,19,2,Standard,None,0.337,0,1,59.75,0.237
SSA2-24J20,S45C,2,24,48,20,2,Standard,None,0.337,0,1,59.75,0.232
SSA2-25J12,S45C,2,25,50,12,2,Standard,None,0.337,0,1,63.26,0.29
SSA2-25J14,S45C,2,25,50,14,2,Standard,None,0.337,0,1,63.26,0.283
SSA2-25J15,S45C,2,25,50,15,2,Standard,None,0.337,0,1,63.26,0.279
SSA2-25J16,S45C,2,25,50,16,2,Standard,None,0.337,0,1,63.26,0.275
SSA2-25J17,S45C,2,25,50,17,2,Standard,None,0.337,0,1,63.26,0.271
SSA2-25J18,S45C,2,25,50,18,2,Standard,None,0.337,0,1,63.26,0.266
SSA2-25J19,S45C,2,25,50,19,2,Standard,None,0.337,0,1,63.26,0.261
SSA2-25J20,S45C,2,25,50,20,2,Standard,None,0.337,0,1,63.26,0.257
SSA2-25J22,S45C,2,25,50,22,2,Standard,None,0.337,0,1,63.26,0.246
SSA2-28J15,S45C,2,28,56,15,2,Standard,None,0.352,0,1,73.92,0.357
