"Catalogue.Number","Material","Module","Teeth.Count","Pitch.Diameter..mm.","Bore Diameter (mm)","Face.Width..cm.","Tooth.Finish","Heat.Treatment","Lewis.Form.Factor","set screw","keyway"
"SSA1-20J8","S45C",1,20,20,"8",1,"Standard","None",0.32,0,1
"SSA1-24J10","S45C",1,24,24,"10",1,"Standard","None",0.337,0,1
"SSA1-24J8","S45C",1,24,24,"8",1,"Standard","None",0.337,0,1
"SSA1-25J10","S45C",1,25,25,"10",1,"Standard","None",0.337,0,1
"SSA1-25J8","S45C",1,25,25,"8",1,"Standard","None",0.337,0,1
"SSA1-28J10","S45C",1,28,28,"10",1,"Standard","None",0.352,0,1
"SSA1-28J12","S45C",1,28,28,"12",1,"Standard","None",0.352,0,1
"SSA1-28J8","S45C",1,28,28,"8",1,"Standard","None",0.352,0,1
"SSA1-30J10","S45C",1,30,30,"10",1,"Standard","None",0.358,0,1
"SSA1-30J12","S45C",1,30,30,"12",1,"Standard","None",0.358,0,1
"SSA1-30J8","S45C",1,30,30,"8",1,"Standard","None",0.358,0,1
"SSA1-32J10","S45C",1,32,32,"10",1,"Standard","None",0.364,0,1
"SSA1-32J12","S45C",1,32,32,"12",1,"Standard","None",0.364,0,1
"SSA1-32J14","S45C",1,32,32,"14",1,"Standard","None",0.364,0,1
"SSA1-32J8","S45C",1,32,32,"8",1,"Standard","None",0.364,0,1
"SSA1-35J10","S45C",1,35,35,"10",1,"Standard","None",0.37,0,1
"SSA1-35J12","S45C",1,35,35,"12",1,"Standard","None",0.37,0,1
"SSA1-35J14","S45C",1,35,35,"14",1,"Standard","None",0.37,0,1
"SSA1-35J15","S45C",1,35,35,"15",1,"Standard","None",0.37,0,1
"SSA1-35J16","S45C",1,35,35,"16",1,"Standard","None",0.37,0,1
"SSA1-35J8","S45C",1,35,35,"8",1,"Standard","None",0.37,0,1
"SSA1-36J10","S45C",1,36,36,"10",1,"Standard","None",0.377,0,1
"SSA1-36J12","S45C",1,36,36,"12",1,"Standard","None",0.377,0,1
"SSA1-36J14","S45C",1,36,36,"14",1,"Standard","None",0.377,0,1
"SSA1-36J15","S45C",1,36,36,"15",1,"Standard","None",0.377,0,1
"SSA1-36J16","S45C",1,36,36,"16",1,"Standard","None",0.377,0,1
"SSA1-36J8","S45C",1,36,36,"8",1,"Standard","None",0.377,0,1
"SSA1-40J10","S45C",1,40,40,"10",1,"Standard","None",0.389,0,1
"SSA1-40J12","S45C",1,40,40,"12",1,"Standard","None",0.389,0,1
"SSA1-40J14","S45C",1,40,40,"14",1,"Standard","None",0.389,0,1
"SSA1-40J15","S45C",1,40,40,"15",1,"Standard","None",0.389,0,1
"SSA1-40J16","S45C",1,40,40,"16",1,"Standard","None",0.389,0,1
"SSA1-40J17","S45C",1,40,40,"17",1,"Standard","None",0.389,0,1
"SSA1-40J18","S45C",1,40,40,"18",1,"Standard","None",0.389,0,1
"SSA1-40J8","S45C",1,40,40,"8",1,"Standard","None",0.389,0,1
"SSA1-45J10","S45C",1,45,45,"10",1,"Standard","None",0.399,0,1
"SSA1-45J12","S45C",1,45,45,"12",1,"Standard","None",0.399,0,1
"SSA1-45J14","S45C",1,45,45,"14",1,"Standard","None",0.399,0,1
"SSA1-45J15","S45C",1,45,45,"15",1,"Standard","None",0.399,0,1
"SSA1-45J16","S45C",1,45,45,"16",1,"Standard","None",0.399,0,1
"SSA1-45J17","S45C",1,45,45,"17",1,"Standard","None",0.399,0,1
"SSA1-45J18","S45C",1,45,45,"18",1,"Standard","None",0.399,0,1
"SSA1-45J19","S45C",1,45,45,"19",1,"Standard","None",0.399,0,1
"SSA1-45J20","S45C",1,45,45,"20",1,"Standard","None",0.399,0,1
"SSA1-45J8","S45C",1,45,45,"8",1,"Standard","None",0.399,0,1
"SSA1-48J10","S45C",1,48,48,"10",1,"Standard","None",0.399,0,1
"SSA1-48J12","S45C",1,48,48,"12",1,"Standard","None",0.399,0,1
"SSA1-48J14","S45C",1,48,48,"14",1,"Standard","None",0.399,0,1
"SSA1-48J15","S45C",1,48,48,"15",1,"Standard","None",0.399,0,1
"SSA1-48J16","S45C",1,48,48,"16",1,"Standard","None",0.399,0,1
"SSA1-48J17","S45C",1,48,48,"17",1,"Standard","None",0.399,0,1
"SSA1-48J18","S45C",1,48,48,"18",1,"Standard","None",0.399,0,1
"SSA1-48J19","S45C",1,48,48,"19",1,"Standard","None",0.399,0,1
"SSA1-48J20","S45C",1,48,48,"20",1,"Standard","None",0.399,0,1
"SSA1-48J22","S45C",1,48,48,"22",1,"Standard","None",0.399,0,1
"SSA1-48J8","S45C",1,48,48,"8",1,"Standard","None",0.399,0,1
"SSA1-50J10","S45C",1,50,50,"10",1,"Standard","None",0.408,0,1
"SSA1-50J12","S45C",1,50,50,"12",1,"Standard","None",0.408,0,1
