No..Teeth,Thickness.cm,Name,Keyway.Allowable.Torque.Nm,Pitch.Diameter,Lewis.Form.Factor,bore.mm,weight.Kg
15,2,15_2,73.1,30,0.289,12,0.12
15,2,15_2,73.1,30,0.289,12,0.1
15,2,15_2,73.1,30,0.289,15,0.12
15,2,15_2,73.1,30,0.289,15,0.1
18,2,18_2,97.2,36,0.308,12,0.19
18,2,18_2,97.2,36,0.308,12,0.17
18,2,18_2,97.2,36,0.308,15,0.19
18,2,18_2,97.2,36,0.308,15,0.17
20,2,20_2,114,40,0.32,15,0.22
20,2,20_2,114,40,0.32,15,0.2
20,2,20_2,114,40,0.32,18,0.22
20,2,20_2,114,40,0.32,18,0.2
24,2,24_2,148,48,0.337,15,0.32
24,2,24_2,148,48,0.337,15,0.3
24,2,24_2,148,48,0.337,18,0.32
24,2,24_2,148,48,0.337,18,0.3
25,2,25_2,157,50,0.34,16,0.33
25,2,25_2,157,50,0.34,16,0.31
25,2,25_2,157,50,0.34,20,0.33
25,2,25_2,157,50,0.34,20,0.31
30,2,30_2,201,60,0.358,18,0.48
30,2,30_2,201,60,0.358,18,0.45
30,2,30_2,201,60,0.358,22,0.48
30,2,30_2,201,60,0.358,22,0.45
35,2,35_2,246,70,0.373,18,0.64
35,2,35_2,246,70,0.373,18,0.61
35,2,35_2,246,70,0.373,22,0.64
35,2,35_2,246,70,0.373,22,0.61
36,2,36_2,255,72,0.377,18,0.67
36,2,36_2,255,72,0.377,18,0.64
36,2,36_2,255,72,0.377,22,0.67
36,2,36_2,255,72,0.377,22,0.64
40,2,40_2,292,80,0.389,20,0.84
40,2,40_2,292,80,0.389,20,0.79
40,2,40_2,292,80,0.389,25,0.84
40,2,40_2,292,80,0.389,25,0.79
45,2,45_2,114,90,0.399,20,1.05
45,2,45_2,114,90,0.399,20,1
45,2,45_2,114,90,0.399,25,1.05
45,2,45_2,114,90,0.399,25,1
48,2,48_2,349,96,0.405,22,1.2
48,2,48_2,349,96,0.405,22,1.14
48,2,48_2,349,96,0.405,28,1.2
48,2,48_2,349,96,0.405,28,1.14
50,2,50_2,367,100,0.408,22,1.29
50,2,50_2,367,100,0.408,22,1.24
50,2,50_2,367,100,0.408,28,1.29
50,2,50_2,367,100,0.408,28,1.24
55,2,55_2,412,110,0.415,25,1.56
55,2,55_2,412,110,0.415,25,1.51
55,2,55_2,412,110,0.415,30,1.56
55,2,55_2,412,110,0.415,30,1.51
60,2,60_2,457,120,0.421,25,1.84
60,2,60_2,457,120,0.421,25,1.79
60,2,60_2,457,120,0.421,30,1.84
60,2,60_2,457,120,0.421,30,1.79
70,2,70_2,547,140,0.429,25,2.48
70,2,70_2,547,140,0.429,25,2.43
70,2,70_2,547,140,0.429,30,2.48
70,2,70_2,547,140,0.429,30,2.43
80,2,80_2,610,160,0.436,30,2.55
80,2,80_2,610,160,0.436,30,2.49
80,2,80_2,610,160,0.436,35,2.55
80,2,80_2,610,160,0.436,35,2.49
100,2,100_2,785,200,0.446,35,4.16
100,2,100_2,785,200,0.446,35,4.09
100,2,100_2,785,200,0.446,40,4.16
100,2,100_2,785,200,0.446,40,4.09
15,3,15_3,247,45,0.289,18,0.4
15,3,15_3,247,45,0.289,18,0.35
15,3,15_3,247,45,0.289,22,0.4
15,3,15_3,247,45,0.289,22,0.35
18,3,18_3,328,54,0.308,20,0.61
18,3,18_3,328,54,0.308,20,0.54
18,3,18_3,328,54,0.308,25,0.61
18,3,18_3,328,54,0.308,25,0.54
20,3,20_3,384,60,0.32,20,0.74
20,3,20_3,384,60,0.32,20,0.67
20,3,20_3,384,60,0.32,25,0.74
20,3,20_3,384,60,0.32,25,0.67
24,3,24_3,499,72,0.337,20,0.103
24,3,24_3,499,72,0.337,20,0.96
24,3,24_3,499,72,0.337,25,0.103
24,3,24_3,499,72,0.337,25,0.96
25,3,25_3,528,75,0.34,25,1.14
25,3,25_3,528,75,0.34,25,1.06
25,3,25_3,528,75,0.34,30,1.14
25,3,25_3,528,75,0.34,30,1.06
30,3,30_3,677,90,0.358,28,1.6
30,3,30_3,677,90,0.358,28,1.48
30,3,30_3,677,90,0.358,35,1.6
30,3,30_3,677,90,0.358,35,1.48
35,3,35_3,790,105,0.374,30,2.11
35,3,35_3,790,105,0.374,30,2.02
35,3,35_3,790,105,0.374,35,2.11
35,3,35_3,790,105,0.374,35,2.02
36,3,36_3,820,108,0.377,30,2.23
36,3,36_3,820,108,0.377,30,2.14
36,3,36_3,820,108,0.377,35,2.23
36,3,36_3,820,108,0.377,35,2.14
40,3,40_3,938,120,0.389,30,2.86
40,3,40_3,938,120,0.389,30,2.66
40,3,40_3,938,120,0.389,40,2.86
40,3,40_3,938,120,0.389,40,2.66
45,3,45_3,1090,135,0.399,30,3.57
45,3,45_3,1090,135,0.399,30,3.37
45,3,45_3,1090,135,0.399,40,3.57
45,3,45_3,1090,135,0.399,40,3.37
48,3,48_3,1180,144,0.405,35,3.94
48,3,48_3,1180,144,0.405,35,3.83
48,3,48_3,1180,144,0.405,40,3.94
48,3,48_3,1180,144,0.405,40,3.83
50,3,50_3,1240,150,0.408,32,3.79
50,3,50_3,1240,150,0.408,32,3.62
50,3,50_3,1240,150,0.408,40,3.79
50,3,50_3,1240,150,0.408,40,3.62
55,3,55_3,1330,165,0.415,35,4.39
55,3,55_3,1330,165,0.415,35,4.29
55,3,55_3,1330,165,0.415,40,4.39
55,3,55_3,1330,165,0.415,40,4.29
60,3,60_3,1470,180,0.421,35,5.31
60,3,60_3,1470,180,0.421,35,5.08
60,3,60_3,1470,180,0.421,45,5.31
60,3,60_3,1470,180,0.421,45,5.08
15,2.5,15_2.5,143,37.5,0.289,15,0.23
15,2.5,15_2.5,143,37.5,0.289,15,0.2
15,2.5,15_2.5,143,37.5,0.289,18,0.23
15,2.5,15_2.5,143,37.5,0.289,18,0.2
18,2.5,18_2.5,190,45,0.308,18,0.34
18,2.5,18_2.5,190,45,0.308,18,0.32
18,2.5,18_2.5,190,45,0.308,20,0.34
18,2.5,18_2.5,190,45,0.308,20,0.32
20,2.5,20_2.5,222,50,0.32,18,0.42
20,2.5,20_2.5,222,50,0.32,18,0.39
20,2.5,20_2.5,222,50,0.32,22,0.42
20,2.5,20_2.5,222,50,0.32,22,0.39
24,2.5,24_2.5,289,60,0.337,18,0.59
24,2.5,24_2.5,289,60,0.337,18,0.56
24,2.5,24_2.5,289,60,0.337,22,0.59
24,2.5,24_2.5,289,60,0.337,22,0.56
25,2.5,25_2.5,306,62.5,0.3405,20,0.66
25,2.5,25_2.5,306,62.5,0.3405,20,0.6
